Nome;Id. B2W;SKU Parceiro;Preço de;Preço por;Qtd. Estoque;Ean;Situação;Motivo Reprovação;mensagem
Jogo de roda aro 14 GM Onix Aro Preta diamantada Furação 4x100;1850413282;7010639567020B2W;R$ 1.579,01;R$ 1.579,01;5;7010639567020;"PUBLICADO;"; ;
Pasta Térmica GD900 1g + Chave Torx T6 T8 T10 + Cleaner 10ml;1850413320;6015053835862B2W;R$ 71,43;R$ 71,43;0;6015053835862;"SE;"; ;
Colar Pingente Coração detalhes em vermelho;1850413792;P60356S123B2W;R$ 39,90;R$ 39,90;16; ;"PUBLICADO;"; ;
Jogo de Roda Aro 20 VW Jetta Preta Diamantada Furação 4x100;1850416096;7010639566931B2W;R$ 3.426,61;R$ 3.426,61;1;7010639566931;"PUBLICADO;"; ;
Jogo Roda Aro 20 Novo Polo Furação 5x112 GRAFITE DIAMANTADA;1850417953;7010639565866B2W;R$ 3.461,51;R$ 3.461,51;0;7010639565866;"SE;"; ;
Body Bebê Algodão Pistol Star Groot;1850418180;P35810S76B2W-1;R$ 109,00;R$ 109,00;1; ;"PUBLICADO;"; ;
Body Bebê Algodão Pistol Star Groot;1850418180;P35810S76B2W-0;R$ 109,00;R$ 109,00;1; ;"PUBLICADO;"; ;
Relógio Feminino Seculus Cristais Spikes Rosé 77067LPSVRS2;1850414111;7893689171313B2W;R$ 259,00;R$ 259,00;2;7893689171313;"PUBLICADO;"; ;
Jogo com 4 Rodas Aro 20 FURAÇÃO 5X105 PRETA DIAMANTADA;1850418631;7010639561752B2W;R$ 3.461,51;R$ 3.461,51;1;7010639561752;"PUBLICADO;"; ;
Jogo de roda aro 15 GM Onix Aro Prata Furação 4x100;1850414218;7010639567068B2W;R$ 1.768,78;R$ 1.768,78;0;7010639567068;"SE;"; ;
Jogo com 4 Rodas Aro 15 FURAÇÃO 5X108 PRETA DIAMANTADA;1850418905;7010639559384B2W;R$ 3.386,06;R$ 3.386,06;4;7010639559384;"PUBLICADO;"; ;
"Jogo com 4 Rodas Aro 14 FURAÇÃO 4X108; GRAFITE DIAMANTADA";1850419094;7010639558592B2W;R$ 1.595,05;R$ 1.595,05;3;7010639558592;"PUBLICADO;"; ;
